embed,norm,train_n,fold,r2,mse,check
CBOW_GoogleNews,CD_SUBTLEXUS,8931,2,0.6748553631069281,0.1603515362041085,pass
CBOW_GoogleNews,CD_SUBTLEXUS,8931,3,0.695979464843887,0.1659291433530733,pass
CBOW_GoogleNews,CD_SUBTLEXUS,8931,4,0.6691599775963482,0.1538655116658212,pass
CBOW_GoogleNews,CD_SUBTLEXUS,8931,5,0.6986120728608356,0.1620829085289061,pass
morphoNLM,CD_SUBTLEXUS,8931,1,0.442031196534062,0.2770388803635367,pass
morphoNLM,CD_SUBTLEXUS,8931,2,0.504431800052894,0.24439930153778425,pass
morphoNLM,CD_SUBTLEXUS,8931,3,0.5146737107858034,0.2648826842393587,pass
morphoNLM,CD_SUBTLEXUS,8931,4,0.4711904927481191,0.24593622263689974,pass
morphoNLM,CD_SUBTLEXUS,8931,5,0.43166939988940756,0.30564156151274446,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUS,8931,1,0.7346662669519084,0.13174170288681417,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUS,8931,2,0.7576610706298141,0.11951425672553126,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUS,8931,3,0.775572158532263,0.12248882944765176,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUS,8931,4,0.7498170223376397,0.11635391506874972,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUS,8931,5,0.7599067909307806,0.12911932476316146,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,1,0.7280763046272589,0.13501370621875355,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,2,0.7181133836582942,0.13901798411220787,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,3,0.7486750848196073,0.13716878650237402,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,4,0.7159995955458462,0.13208156385421696,pass
CBOW_GoogleNews&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,5,0.7401559503588104,0.139741096232851,pass
morphoNLM&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,1,0.6586555039626822,0.16948205063261587,pass
morphoNLM&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,2,0.66444609156261,0.1654850752310678,pass
morphoNLM&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,3,0.6938027416516674,0.16711716117698866,pass
morphoNLM&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,4,0.6425839602649541,0.16622536001495955,pass
morphoNLM&PPMI_SVD_SWOW,CD_SUBTLEXUS,8931,5,0.677320476170193,0.17353328065097953,pass
CBOW_GoogleNews,CD_SUBTLEXUK,8916,1,0.6561619253831326,0.1890598169342622,pass
CBOW_GoogleNews,CD_SUBTLEXUK,8916,2,0.6675078761944009,0.17485254027299998,pass
CBOW_GoogleNews,CD_SUBTLEXUK,8916,3,0.6865784726148195,0.18909842173688185,pass
CBOW_GoogleNews,CD_SUBTLEXUK,8916,4,0.6562304240977289,0.18544153122011053,pass
CBOW_GoogleNews,CD_SUBTLEXUK,8916,5,0.703459308701712,0.1771390754024934,pass
morphoNLM,CD_SUBTLEXUK,8916,1,0.42971667812681813,0.31357103355742655,pass
morphoNLM,CD_SUBTLEXUK,8916,2,0.5078161685888405,0.25883197538193825,pass
morphoNLM,CD_SUBTLEXUK,8916,3,0.4832417237471238,0.311778757745633,pass
morphoNLM,CD_SUBTLEXUK,8916,4,0.47697202087518065,0.28213988706039456,pass
morphoNLM,CD_SUBTLEXUK,8916,5,0.40788230481335896,0.35370249052704816,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUK,8916,1,0.7158052988234377,0.1562648297108991,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUK,8916,2,0.7423879593687664,0.1354742458068534,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUK,8916,3,0.76131253910462,0.14400868542839665,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUK,8916,4,0.7337054238752154,0.14364876188528378,pass
CBOW_GoogleNews&morphoNLM,CD_SUBTLEXUK,8916,5,0.7534372311205316,0.1472846802803682,pass
